,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure
138,CRAIG ROAD,CHINATOWN PLAZA,RCR,1.2783683912716397,103.84241524028404,29348.684953154985,02,Freehold
139,KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,RCR,1.2531402819475366,103.8302245229982,22338.295537857808,04,99 yrs lease commencing from 2007
140,PASIR PANJANG ROAD,LANDRIDGE CONDOMINIUM,RCR,1.2230322228802901,103.84300961635256,13276.748390106932,05,Freehold
141,COVE DRIVE,SEVEN PALMS SENTOSA COVE,CCR,1.2675477525076073,103.80393929645243,30598.088417297426,04,99 yrs lease commencing from 2007
142,MCCALLUM STREET,THE CLIFT,CCR,1.2835977317397316,103.84315807650258,20875.601880717062,01,99 yrs lease commencing from 2004
143,WEST COAST PARK,BOTANNIA,OCR,1.1902896301613701,103.88223761649708,13232.306385251091,05,956 yrs lease commencing from 1928
144,ENGGOR STREET,SKYSUITES@ANSON,CCR,1.280992991406127,103.83843253180187,24752.08183684751,02,99 yrs lease commencing from 2008
145,ALEXANDRA ROAD,ALESSANDREA,RCR,1.2586950165848851,103.85419184204375,14687.563181703803,03,Freehold
146,COVE WAY,SEASCAPE,CCR,1.274462024864206,103.80396069571444,21027.6541859834,04,99 yrs lease commencing from 2007
147,CHWEE CHIAN ROAD,BANYAN CONDOMINIUM,RCR,1.224718564414408,103.8422294092771,12826.574217836866,05,Freehold
148,PASIR PANJANG HILL,HORIZON RESIDENCES,RCR,1.2198270011360397,103.84567890513134,16238.469706331876,05,Freehold
149,JALAN BUKIT HO SWEE,MERAPRIME,RCR,1.2639289270109022,103.8507670330812,16277.646948401001,03,99 yrs lease commencing from 2003
150,JALAN MEMBINA,CENTRAL GREEN CONDOMINIUM,RCR,1.2640357334043855,103.84821352895608,14767.817613953215,03,99 yrs lease commencing from 1992
151,JALAN LEMPENG,REGENT PARK,OCR,1.1966587584166166,103.88107944515794,10715.265884903703,05,99 yrs lease commencing from 1993
