,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
435,HG2,,BLK 15-18 HOUGANG AVE 3,1.362916282 103.8920255,139,C,HDB,1.362916282,103.8920255
436,HG4,,BLK 19-23 HOUGANG AVE 3,1.364230425 103.8909834,215,C,HDB,1.364230425,103.8909834
437,HG5,,BLK 24/25 HOUGANG AVE 3,1.365355318 103.8923108,84,C,HDB,1.365355318,103.8923108
438,HG7,,BLK 109-127 HOUGANG AVENUE 1,1.353652999 103.887803,335,C,HDB,1.353652999,103.887803
439,HG9,,BLK 201-204 HOUGANG STREET 21,1.358910533 103.8845199,59,C,HDB,1.358910533,103.8845199
440,HLM,,BLK 531A HONG LIM MSCP,1.284852235 103.8455194,307,C,HDB,1.284852235,103.8455194
441,HR1,,BLK 1-3 HAIG RD,1.311462635 103.8975454,19,C,HDB,1.311462635,103.8975454
442,HR2,,BLK 4-6 HAIG RD,1.312632457 103.8970287,57,C,HDB,1.312632457,103.8970287
443,HR3,,BLK 7 TO 9 HAIG RD,1.313980131 103.8963877,46,C,HDB,1.313980131,103.8963877
444,HR4,,BLK 10 TO 14 HAIG RD,1.314692406 103.8960014,0,C,HDB,1.314692406,103.8960014
445,HR5,,BLK 21 TO 23 HAIG RD,1.313018646 103.8950993,26,C,HDB,1.313018646,103.8950993
446,HVM,,BLK 51 HAVELOCK ROAD,1.289869482 103.8277184,339,C,HDB,1.289869482,103.8277184
447,J10,,BLK 246/249 JURONG EAST ST 24,1.342016683 103.7400937,67,C,HDB,1.342016683,103.7400937
448,J11,,BLK 250/251 JURONG EAST ST 24,1.342919667 103.7399377,89,C,HDB,1.342919667,103.7399377
449,J12,,BLK 252/254 JURONG EAST ST 24,1.343362925 103.7382609,8,C,HDB,1.343362925,103.7382609
450,J14,,BLK 256/258 JURONG EAST ST 24,1.34409384 103.7390798,76,C,HDB,1.34409384,103.7390798
451,J15,,BLK 259/264 JURONG EAST ST 24,1.344041811 103.7414179,72,C,HDB,1.344041811,103.7414179
452,J16,,BLK 301/304 JURONG EAST ST 32,1.344401082 103.7356433,71,C,HDB,1.344401082,103.7356433
453,J17,,BLK 305/306 JURONG EAST ST 32,1.34566908 103.7354734,91,C,HDB,1.34566908,103.7354734
454,J18,,BLK 307/308 JURONG EAST ST 32,1.346890757 103.7348451,105,C,HDB,1.346890757,103.7348451
455,J19,,BLK 309/310 JURONG EAST ST 32,1.347925792 103.7339566,61,C,HDB,1.347925792,103.7339566
456,J20,,BLK 311/316 JURONG EAST ST 32,1.346203838 103.7324764,153,C,HDB,1.346203838,103.7324764
457,J21,,BLK 317/328 JURONG EAST STREET 31,1.34906413 103.7298694,302,C,HDB,1.34906413,103.7298694
458,J22,,BLK 329/333 JURONG EAST AVENUE 1,1.351320352 103.7301985,106,C,HDB,1.351320352,103.7301985
459,J23,,BLK 334/341 JURONG EAST AVENUE 1,1.35002832 103.7320159,114,C,HDB,1.35002832,103.7320159
460,J24,,BLK 342/346 JURONG EAST STREET 31,1.345732556 103.7310609,1,C,HDB,1.345732556,103.7310609
461,J25,,BLK 347/350 JURONG EAST AVE 1,1.344863969 103.7316456,0,C,HDB,1.344863969,103.7316456
462,J26,,BLK 351/353 JURONG EAST STREET 31,1.34492186 103.7305968,0,C,HDB,1.34492186,103.7305968
463,J27,,BLK 521/524 JURONG WEST STREET 52,1.346887336 103.7166694,110,C,HDB,1.346887336,103.7166694
