,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
157,G05,1.350277777777778,103.87277777777777,Yes,LTA,Stand,Serangoon Ctrl outside Serangoon CCL Station (Ent E) (outside NEX Shopping Mall)
158,G06,1.350277777777778,103.87416666666665,Yes,LTA,Stand,Upp Serangoon Rd outside Serangoon NEL Station (Ent C) (towards Kovan)
159,G07,1.3491666666666666,103.87388888888889,Yes,LTA,Stand,Serangoon Ctrl outside Serangoon NEL Station (Ent A) (outside Blk 413)
160,G08,1.3511111111111112,103.86444444444444,Yes,LTA,Stand,Serangoon Ave 3 outside Lorong Chuan CCL Station (Ent A)
161,G09,1.3541666666666667,103.87694444444443,Yes,CCS,Stand,Yio Chu Kang Rd outside Space@Kovan
162,G10,1.3591666666666669,103.88444444444445,Yes,LTA,Stand,Upp Serangoon Rd outside Kovan NEL Station (Ent C) (towards Serangoon)
163,G11,1.3594444444444445,103.88416666666667,Yes,LTA,Stand,Upp Serangoon Rd opposite Kovan NEL Station(Ent A) (towards Hougang)
164,G12,1.3711111111111112,103.89250000000001,Yes,LTA,Stand,Hougang Ctrl outside Hougang NEL Station (Ent B) (opp Hougang Central Bus Interchange)
165,G13,1.3822222222222222,103.89305555555556,Yes,LTA,Stand,Sengkang Ctrl outside Buangkok NEL Station (Ent B) (towards Hougang)
166,G14,1.373888888888889,103.89277777777778,Yes,LTA,Stand,Sengkang Ctrl outside Buangkok NEL Station (Ent A) (towards Sengkang)
167,G15,1.385,103.90111111111112,Yes,LTA,Stand,Punggol Rd outside Rivervale Plaza
168,G16,1.3922222222222222,103.89555555555556,Yes,LTA,Stand,Sengkang East Way outside Sengkang NEL Station (Ent D) (outside Compass Point)
169,G17,1.3922222222222222,103.89583333333334,Yes,LTA,Stand,Sengkang East Way outside Sengkang NEL Station (outside Blk 257C)
170,G18,1.3902777777777777,103.89500000000001,Yes,LTA,Stand,Sengkang Sq outside Sengkang NEL Station (Ent C) (near Kopitiam Square)
171,G19,1.4055555555555554,103.90166666666667,Yes,Private,Stand,Punggol Ctrl at driveway of Waterway Point
172,G20,1.4044444444444444,103.9025,Yes,LTA,Stand,Punggol Ctrl outside Punggol NEL Station (Ent C) (outside Punggol Bus Interchange)
173,G21,1.4130555555555555,103.87194444444444,Yes,Private,Stop,"21 Seletar Aerospace Road 1, Singapore 797405 at Seletar Airport Passenger Terminal"
174,G22,1.3719444444444444,103.94861111111112,Yes,CCS,Stand,Pasir Ris Ctrl outside Pasir Ris MRT Station
175,G23,1.3722222222222222,103.94972222222222,Yes,Private,Stand,Pasir Ris Ctrl St 3 at White Sands Shopping Mall
176,G24,1.4019444444444444,103.91305555555556,Yes,Private,Stand,Punggol Dr at Oasis Terraces
177,H01,1.311388888888889,103.78777777777778,Yes,CCS,Stand,Ghim Moh Rd outside Blk 19
178,H02,1.3097222222222222,103.79277777777777,Yes,LTA,Stand,Holland Dr opp Blk 18D
179,H03,1.3097222222222222,103.79527777777777,Yes,CCS,Stand,Holland Ave outside Holland Road Shopping Centre
