,BusStopCode,RoadName,Description,Latitude,Longitude
321,10519,Delta Rd,Blk 4,1.291728,103.826122
322,10599,Jln Rumah Tinggi,Opp Blk 36,1.28883435010664,103.80924997344987
323,10651,Bt Merah Ctrl,Blk 161,1.28329993019059,103.81547665017668
324,10659,Bt Merah Ctrl,Blk 1003,1.28362333298689,103.81472833301791
325,11009,Ghim Moh Rd,Ghim Moh Ter,1.3110673548964,103.78932237623975
326,11019,Jln Bt Merah,Pk Hotel Alexandra,1.28679632523156,103.80565677295323
327,11021,Queensway,Aft Queenstown NPC HQ,1.28941805603102,103.80228694398484
328,11029,Queensway,Blk 166,1.29013472201419,103.80202111098815
329,11031,Queensway,Opp Queen's Cl,1.29119666696879,103.80045500000118
330,11039,Queensway,Blk 19,1.29245762862665,103.79998683928974
331,11041,Queensway,Aft C'wealth Dr,1.29624499998226,103.79952333299494
332,11049,Queensway,Opp Blessed Sacrament Ch,1.2954609366563,103.79952549937242
333,11051,Queensway,Opp Queenstown Polyclinic,1.29872166703909,103.8002979755481
334,11059,Queensway,Queenstown Polyclinic,1.29882892782979,103.80097389222824
335,11061,Queensway,Opp Queensway Sec Sch,1.30265777802206,103.80118694402536
336,11069,Queensway,Queensway Sec Sch,1.30236853162324,103.80161762237655
337,11071,Queensway,Blk 97,1.30621305601609,103.80170944396954
338,11079,Queensway,Opp Blk 95,1.305441389003,103.80185250000659
339,11081,Queensway,Viz Holland,1.30851972202313,103.80258027799627
340,11089,Queensway,Opp Holland Hill Lodge,1.30946135492693,103.80334087354639
341,11091,Farrer Rd,Tulip Gdn,1.31219444050072,103.80367378215983
342,11099,Farrer Rd,Opp Tulip Gdn,1.31305333300118,103.80437666697586
343,11101,Farrer Rd,Farrer Rd Mkt,1.31614971080385,103.80596012189226
344,11109,Farrer Rd,Spanish Village,1.31552472199926,103.80574305602846
345,11111,Farrer Rd,Farrer Rd Stn Exit B,1.31780157259006,103.80771866952543
346,11119,Farrer Rd,Farrer Rd Stn Exit A,1.31747833490912,103.80785606728587
347,11131,C'wealth Ave,Queens Condo,1.2928849988829,103.80706694417339
348,11139,C'wealth Ave,Blk 53A CP,1.2931986108138,103.80744694841283
349,11141,C'wealth Ave,Queenstown Stn Exit A/D,1.29463705145492,103.80582510668431
350,11149,C'wealth Ave,Queenstown Stn Exit B/C,1.29506407111991,103.80596280094791
351,11151,C'wealth Ave,Blk 42,1.29863585845076,103.80247592925552
352,11159,C'wealth Ave,Aft Ch Of Our Saviour,1.29800440816386,103.80362656855579
353,11161,C'wealth Ave,C'Wealth Stn Exit A/D,1.30213305598263,103.79839083302141
354,11169,C'wealth Ave,C'Wealth Stn Exit B/C,1.30270500001823,103.79838166697326
355,11171,C'wealth Ave,Opp Blk 7B,1.30535666699303,103.79479722196947
356,11179,C'wealth Ave,Blk 8,1.30627521395682,103.79427940117534
357,11181,C'wealth Ave,Opp Blk 43,1.30722333300814,103.79227638896938
358,11189,C'wealth Ave,Blk 43,1.30740138898924,103.79254222202354
359,11191,C'wealth Ave West,The Star Vista,1.30801640815091,103.7883731546267
360,11199,C'wealth Ave West,Blk 15,1.30837970735444,103.78843145303215
361,11201,Holland Rd,CSC Dempsey Clubhse,1.30692642897557,103.81186453577433
362,11209,Holland Rd,Opp Peirce Rd,1.30817280849852,103.81038349817638
363,11211,Holland Rd,Aft Peirce Rd,1.30838779885113,103.80939522851014
364,11219,Holland Rd,Great Eastern Mansions,1.30988506093033,103.80716407830104
365,11221,Holland Rd,Lien Twrs,1.31002225322358,103.80544413357042
366,11229,Holland Rd,Sommerville Pk,1.31060065879064,103.80522542227166
