,Unnamed: 0,street,project,marketSegment,lat,long,avg_price_per_sqm,district,commonest_tenure,num_malls,num_taxi_stands,num_primary_schools,num_mrt,num_hawker,num_carparks,num_bus_stops,num_chas_clinics,num_sports_facilities,num_community_centers,num_supermarkets,num_secondary_schools
87,87,MIDDLE ROAD,THE M,CCR,1.2922168628144046,103.86161483209548,26755.30392332317,7,99 yrs lease commencing from 2019,10,14,0,3,0,6,30,9,7,0,6,0
88,88,STIRLING ROAD,STIRLING RESIDENCES,RCR,1.240564540155629,103.85483152469985,19897.753247091925,3,99 yrs lease commencing from 2017,0,0,0,0,0,0,0,0,0,0,0,0
89,89,PEPYS ROAD,THE PEAK,RCR,1.2292480251628066,103.84371275805074,12524.461839530331,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
90,90,MARINA WAY,MARINA ONE RESIDENCES,CCR,1.290004397787119,103.84099626798329,26312.834727217916,1,99 yrs lease commencing from 2011,4,24,1,5,4,12,54,17,8,2,11,1
91,91,ROCHESTER DRIVE,THE ROCHESTER RESIDENCES,RCR,1.2242263894302363,103.868801967558,14741.320868324154,5,99 yrs lease commencing from 2005,0,0,0,0,0,0,0,0,0,0,0,0
92,92,SPOTTISWOODE PARK ROAD,SPOTTISWOODE RESIDENCES,RCR,1.2730323186793475,103.83905562474668,21524.46444203608,2,Freehold,2,12,1,3,1,5,36,14,13,1,6,0
93,93,JALAN LEMPENG,PARK WEST,OCR,1.1963501172445878,103.88133974953044,8512.343202382795,5,99 yrs lease commencing from 1982,0,0,0,0,0,0,0,0,0,0,0,0
94,94,CLUB STREET,EMERALD GARDEN,RCR,1.2827351446812116,103.84529271436712,18860.207673979898,1,999 yrs lease commencing from 1827,5,46,1,9,9,4,64,46,40,3,18,0
95,95,WATERLOO STREET,WATERLOO VIEW,RCR,1.2890225923140506,103.86438419999678,10161.61616161616,7,Freehold,5,9,0,2,0,5,16,4,2,0,5,0
96,96,JALAN SULTAN,TEXTILE CENTRE,RCR,1.2977719222990265,103.86722655500684,9798.628563779435,7,99 yrs lease commencing from 1970,3,7,0,3,2,5,18,8,4,1,4,0
97,97,PRINCE CHARLES CRESCENT,PRINCIPAL GARDEN,RCR,1.2589459772757885,103.85604918796912,18673.489238895814,3,99 yrs lease commencing from 2014,0,0,0,0,0,0,1,0,0,0,0,0
98,98,ZEHNDER ROAD,BUONA LODGE,RCR,1.2225982636110997,103.84542990695594,11741.80898165718,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
99,99,JALAN LEMPENG,PARC CLEMATIS,OCR,1.1953181650065745,103.87992092530033,17589.59263544203,5,99 yrs lease commencing from 2019,0,0,0,0,0,0,0,0,0,0,0,0
100,100,ALEXANDRA VIEW,ASCENTIA SKY,RCR,1.2530717305106938,103.85463432750264,15941.035791659046,3,99 yrs lease commencing from 2008,0,0,0,0,0,0,0,0,0,0,0,0
101,101,WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,OCR,1.2039489105804373,103.86038358727112,11827.421269661649,5,99 yrs lease commencing from 2006,0,0,0,0,0,0,0,0,0,0,0,0
102,102,PASIR PANJANG ROAD,LOTUS AT PASIR PANJANG,RCR,1.2205888987403353,103.84304635393303,14532.614309220402,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
103,103,COVE DRIVE,MARINA COLLECTION,CCR,1.2760316429807574,103.80818645481308,19234.82671300593,4,99 yrs lease commencing from 2007,1,0,1,2,1,1,0,10,2,1,5,0
104,104,SILAT AVENUE,AVENUE SOUTH RESIDENCE,RCR,1.2658572426804835,103.84052353153064,22157.919053351987,3,99 yrs lease commencing from 2018,0,1,0,0,0,3,6,1,0,0,0,0
105,105,PASIR PANJANG ROAD,THE VERANDAH RESIDENCES,RCR,1.2205888987403353,103.84304635393303,19566.777972829103,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
106,106,JALAN MAS PUTEH,RESIDENTIAL APARTMENTS,OCR,1.197390043915038,103.87195332818048,8352.941176470587,5,999 yrs lease commencing from 1968,0,0,0,0,0,0,0,0,0,0,0,0
107,107,CHAY YAN STREET,THE REGENCY AT TIONG BAHRU,RCR,1.266258060381598,103.84589163430022,18512.24789083922,3,Freehold,0,3,0,0,0,0,10,2,0,0,3,0
108,108,SOUTH BUONA VISTA ROAD,VISTA PARK,RCR,1.225489335226816,103.84552446841272,9668.1996057063,5,99 yrs lease commencing from 1979,0,0,0,0,0,0,0,0,0,0,0,0
109,109,PASIR PANJANG HILL,LE HILL CONDOMINIUM,RCR,1.2205466215937215,103.84691820287256,12649.540981877852,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
110,110,YONG SIAK STREET,YONG SIAK VIEW,RCR,1.2662332639077334,103.84657016225252,13452.528837622003,3,Freehold,0,3,0,0,0,0,8,2,0,0,1,0
111,111,BEACH ROAD,GOLDEN MILE COMPLEX,CCR,1.3015555070762266,103.86637898348008,7032.348551936222,7,99 yrs lease commencing from 1969,3,6,0,3,2,6,24,9,5,2,8,0
112,112,CLEMENTI AVENUE 1,THE CLEMENT CANOPY,OCR,1.2042945202671522,103.8702581711485,15075.029678054138,5,99 yrs lease commencing from 2016,0,0,0,0,0,0,0,0,0,0,0,0
113,113,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK,RCR,1.271105543920244,103.83739023070444,8911.131459247235,2,99 yrs lease commencing from 1973,1,5,1,0,1,5,24,10,5,1,5,0
114,114,PASIR PANJANG ROAD,THE CASSANDRA,RCR,1.229093749047962,103.84064324388882,12471.489938860745,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
115,115,PEPYS ROAD,PEPYS HILL CONDOMINIUM,RCR,1.2297047949273403,103.84151505892522,11115.321857942436,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
116,116,OCEAN DRIVE,THE OCEANFRONT @ SENTOSA COVE,CCR,1.2787554414655362,103.8083864445746,16713.288124116712,4,99 yrs lease commencing from 2005,1,0,1,2,3,6,11,13,1,1,6,1
117,117,ALEXANDRA VIEW,ECHELON,RCR,1.2539440023492188,103.85429245784974,19614.82688890986,3,99 yrs lease commencing from 2012,0,0,0,0,0,0,0,0,0,0,0,0
118,118,PASIR PANJANG ROAD,VILLA DE WEST,RCR,1.2078950019559425,103.85441036831286,11997.741285668177,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
119,119,HAVELOCK ROAD,HARVEST MANSIONS,RCR,1.2680110846052275,103.85352092769728,12484.40457203615,3,99 yrs lease commencing from 1993,0,4,0,1,0,0,3,0,0,0,0,0
120,120,PASIR PANJANG ROAD,24 ONE RESIDENCES,RCR,1.2206875296095618,103.8439342679772,18274.30088856877,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
121,121,BEACH ROAD,CONCOURSE SKYLINE,RCR,1.2982230618297654,103.86432493396909,21133.61281828297,7,99 yrs lease commencing from 2008,6,11,0,4,2,8,38,10,8,1,8,0
122,122,TAN QUEE LAN STREET,TANQUEELAN SUITES,CCR,1.2929805691393148,103.86194712261243,16637.233453820267,7,999 yrs lease commencing from 1827,10,14,0,3,0,6,31,7,9,0,5,0
123,123,WEST COAST CRESCENT,BLUE HORIZON,OCR,1.2008324189125437,103.86132230545394,11225.44460297879,5,99 yrs lease commencing from 2000,0,0,0,0,0,0,0,0,0,0,0,0
124,124,PASIR PANJANG HILL,VENTANA,RCR,1.2206935456760482,103.8462460960249,13153.289725944982,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
125,125,INDUS ROAD,EMERALD PARK,RCR,1.266248561103074,103.85378354362048,13116.715386171503,3,99 yrs lease commencing from 1991,0,1,0,0,0,0,1,0,0,0,0,0
126,126,PASIR PANJANG ROAD,PALISADES,RCR,1.215961877586958,103.8508270352425,9152.10355987055,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
127,127,WEST COAST VALE,TWIN VEW,OCR,1.1883546177895807,103.88318558386666,15285.826086385972,5,99 yrs lease commencing from 2017,0,0,0,0,0,0,0,0,0,0,0,0
128,128,YONG SIAK STREET,YONG SIAK COURT,RCR,1.2663432930370435,103.84637285254736,13437.5,3,Freehold,0,3,0,0,0,0,10,2,0,0,3,0
129,129,KIM TIAN ROAD,TWIN REGENCY,RCR,1.2646047208600062,103.84849988807876,18282.07613858289,3,Freehold,0,1,0,0,0,0,0,0,0,0,0,0
130,130,PASIR PANJANG ROAD,PALM GREEN,RCR,1.2050928169285084,103.85491603091224,10873.111580968309,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
131,131,JERVOIS LANE,RESIDENTIAL APARTMENTS,RCR,1.2550057085107815,103.8580178564292,15384.615384615385,3,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
132,132,WISHART ROAD,THE FORESTA @ MOUNT FABER,RCR,1.2501273214531932,103.83444479722992,18915.546741604063,4,Freehold,0,0,0,0,0,1,0,0,0,0,2,0
133,133,WEST COAST ROAD,VARSITY PARK CONDOMINIUM,OCR,1.2046802192033117,103.85811687495492,11803.970849564896,5,99 yrs lease commencing from 2004,0,0,0,0,0,0,0,0,0,0,0,0
134,134,CHIN SWEE ROAD,THE LANDMARK,RCR,1.2757965116761771,103.8498224047969,23243.617262944405,3,99 yrs lease commencing from 2020,4,29,0,7,5,0,33,35,27,2,12,0
135,135,PASIR PANJANG HILL,CRYSTAL HEIGHTS,RCR,1.2215781464206408,103.84530418461372,12294.971063144452,5,Freehold,0,0,0,0,0,0,0,0,0,0,0,0
136,136,FABER WALK,WATERFRONT @ FABER,OCR,1.1908521468232034,103.88707146972676,14329.335158256246,5,99 yrs lease commencing from 2013,0,0,0,0,0,0,0,0,0,0,0,0
137,137,EVERTON ROAD,SKY EVERTON,RCR,1.2743603593061208,103.83967025822156,27816.54047387642,2,Freehold,2,13,1,3,4,5,38,15,14,2,7,0
138,138,CRAIG ROAD,CHINATOWN PLAZA,RCR,1.2783683912716397,103.84241524028404,29348.684953154985,2,Freehold,4,33,1,6,7,6,52,33,24,3,16,0
139,139,KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,RCR,1.2531402819475366,103.8302245229982,22338.295537857808,4,99 yrs lease commencing from 2007,0,0,0,0,0,1,0,0,0,0,0,0
