,Unnamed: 0,index,licence_numbers,business_name,name_of_license,premise_address,lat,long,isLatLongAvailable,google_place_id,num_ratings,avg_rating,W,weighted_rating,modified_name
420,420,420,SE17082P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"18 TAI SENG STREET #B1-13, S(539775)",1.3363564974866,103.888715773716,True,ChIJQ2jng5IX2jERZ1H4lQ2t_D4,165.0,4.2,0.0007889037107161811,3.9579910724787357,"FAIRPRICE 18 TAI SENG STREET #B1-13, S(539775)"
421,421,421,SE17345J000,JSJ MINIMART,JSJ CORPORATION PTE. LTD.,"31A TANAH MERAH COAST ROAD #01-01, S(498720)",1.32187768746827,103.987506651389,True,ChIJw5_zxL8j2jERXcM9eXDJhyY,28.0,3.9,0.00013387456909123074,3.957792262049907,"JSJ MINIMART 31A TANAH MERAH COAST ROAD #01-01, S(498720)"
422,422,422,SE17401C000,TIM'S FROZEN,"TANG KER AN, TIMOTHY","18 BEDOK SOUTH ROAD #01-67, S(460018)",1.32052771476512,103.934764301988,True,ChIJ30dPjbAi2jERZcuxArUfCFA,29.0,4.4,0.00013865580370163184,3.957861313596397,"TIM'S FROZEN 18 BEDOK SOUTH ROAD #01-67, S(460018)"
424,424,424,SE17500A000,HAO MART,HAO MART PTE. LTD.,"69 BEDOK SOUTH AVENUE 3 #01-484, S(460069)",1.31935026360524,103.943632360195,True,ChIJ2Qli084i2jERYB0jGgPT9V4,16.0,3.8,7.649975376641757e-05,3.9577879283388557,"HAO MART 69 BEDOK SOUTH AVENUE 3 #01-484, S(460069)"
425,425,425,SE18184V000,HAO MART,HAO MART PTE. LTD.,"448/450 GEYLANG ROAD, S(389407)",1.31317460794729,103.8836465666,True,ChIJzb9YUosZ2jERLLOzjIAfJuc,41.0,4.1,0.00019603061902644502,3.9578278755540257,"HAO MART 448/450 GEYLANG ROAD, S(389407)"
426,426,426,SE18544L000,JMD RETAIL,JMD RETAIL PTE. LTD.,"330 TANJONG KATONG ROAD, S(437106)",1.30416447022908,103.896326993346,True,ChIJjdqElVEZ2jERtTb_t2garwY,3.0,2.3,1.4343703831203293e-05,3.957776221007789,"JMD RETAIL 330 TANJONG KATONG ROAD, S(437106)"
428,428,428,SE19557P000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"10 PAYA LEBAR ROAD #B2-11, S(409057)",1.31756115921,103.892836694432,True,ChIJy7QoXPcZ2jERzT4hyZtelc4,4.0,4.8,1.9124938441604392e-05,3.957816107023156,"The Seafood Market Place by Song Fish 10 PAYA LEBAR ROAD #B2-11, S(409057)"
429,429,429,SE19562A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"10 PAYA LEBAR ROAD #B2-09, S(409057)",1.31756115921,103.892836694432,True,ChIJmbC5gjwZ2jERUIlvP3cAT5k,323.0,4.3,0.0015443387791595545,3.9583284727302286,"FAIRPRICE 10 PAYA LEBAR ROAD #B2-09, S(409057)"
430,430,430,SNE19006A000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"602A TAMPINES AVENUE 9 #01-01, S(521602)",1.36113645824177,103.937425593435,True,ChIJq0tW03Q92jER9dhmMp6wcWw,191.0,4.5,0.0009132158105866097,3.9582951456125004,"SHENG SIONG SUPERMARKET 602A TAMPINES AVENUE 9 #01-01, S(521602)"
431,431,431,SNE19019L000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"322 SUMANG WALK #01-07, MULTI STOREY CAR PARK S(820322)",1.41124703512714,103.897501361265,True,ChIJ2W1-PnwV2jEReBwbgDPcUpg,66.0,4.2,0.0003155614842864725,3.9578764289914945,"PRIME SUPERMARKET 322 SUMANG WALK #01-07, MULTI STOREY CAR PARK S(820322)"
433,433,433,SNE20033L000,DANISHA TRADING,DANISHA TRADING PTE. LTD.,"476 UPPER SERANGOON VIEW #02-14, HOUGANG CAPEVIEW S(530476)",1.37743006723556,103.903712863793,True,ChIJ__8_pCQW2jERGnfe1GACz3g,0.0,0.0,0.0,3.9578,"DANISHA TRADING 476 UPPER SERANGOON VIEW #02-14, HOUGANG CAPEVIEW S(530476)"
434,434,434,SNE20045C000,The Foodcellar,CLEMENTS FOODCELLAR PTE. LTD.,"39 LOWLAND ROAD, LOWLAND GARDEN S(547441)",1.36140252859334,103.883163889476,True,ChIJLVpKbpAX2jERBrqgF8cRZ8E,45.0,4.9,0.0002151555574680494,3.9580027195662466,"The Foodcellar 39 LOWLAND ROAD, LOWLAND GARDEN S(547441)"
436,436,436,SNE20114L000,REDMAN BY PHOON HUAT,PHOON HUAT PTE. LTD.,"1 PASIR RIS CLOSE #01-101, E!HUB@DOWNTOWN EAST S(519599)",1.37656567661723,103.95522291538,True,ChIJww5bsY492jER8n_U3ClRzYo,31.0,4.5,0.00014821827292243404,3.957880363947579,"REDMAN BY PHOON HUAT 1 PASIR RIS CLOSE #01-101, E!HUB@DOWNTOWN EAST S(519599)"
440,440,440,SNE21016E000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"1 PASIR RIS CLOSE #01-339,#01-347, E!HUB@DOWNTOWN EAST S(519599)",1.37656567661723,103.95522291538,True,ChIJTaRaFH492jERyYFwiO7JdhI,155.0,4.2,0.0007410913646121701,3.957979492328509,"DON DON DONKI 1 PASIR RIS CLOSE #01-339,#01-347, E!HUB@DOWNTOWN EAST S(519599)"
441,441,441,SNE21038P000,Ace Dynamic,ACE DYNAMIC HOLDINGS PTE. LTD.,"151 LORONG CHUAN #01-22, NEW TECH PARK S(556741)",1.35206196118771,103.860698338514,True,ChIJ42Jx4hkX2jERQXt2K0e9rC8,14.0,4.6,6.693728454561537e-05,3.957842987124135,"Ace Dynamic 151 LORONG CHUAN #01-22, NEW TECH PARK S(556741)"
442,442,442,SNE21044V000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"610 TAMPINES NORTH DRIVE 1 #01-11, S(520610)",1.36463646143194,103.937173937407,True,ChIJd1RZyQQ92jERMSG7-R8QqPw,22.0,3.5,0.00010518716142882415,3.957751845317498,"PRIME SUPERMARKET 610 TAMPINES NORTH DRIVE 1 #01-11, S(520610)"
443,443,443,SNE21047N000,Cut Butchery,CAVENDISH SUPPLIES PTE. LTD.,"1 MAJU AVENUE #B1-06, MYVILLAGE AT SERANGOON GARDEN S(556679)",1.36511490600171,103.86515950117,True,ChIJeweJvzYX2jERhlx_v1_HfWw,53.0,5.0,0.0002534054343512582,3.958064099143681,"Cut Butchery 1 MAJU AVENUE #B1-06, MYVILLAGE AT SERANGOON GARDEN S(556679)"
444,444,444,SNE21057K000,Toko Warisan Halal Frozen,TOKO WARISAN TRADING,"201D TAMPINES STREET 21 #01-1159, S(524201)",1.35226231425316,103.953586491358,True,ChIJe7lIchs92jERhSI3FzRAAXc,35.0,4.3,0.00016734321136403841,3.957857264846929,"Toko Warisan Halal Frozen 201D TAMPINES STREET 21 #01-1159, S(524201)"
445,445,445,SNW19005L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"182 WOODLANDS STREET 13 #01-01, MULTI STOREY CAR PARK S(730182)",1.43515895067377,103.776023343198,True,ChIJEVHF6F0T2jERzbBdSKIsmUI,220.0,4.5,0.0010518716142882416,3.9583703247892674,"SHENG SIONG SUPERMARKET 182 WOODLANDS STREET 13 #01-01, MULTI STOREY CAR PARK S(730182)"
446,446,446,SNW19010X000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"365 SEMBAWANG CRESCENT #01-01, S(750365)",1.44436832551494,103.816263881257,True,ChIJedK5PUYT2jERAnGwSFWfmpM,135.0,4.2,0.0006454666724041482,3.9579563320280564,"PRIME SUPERMARKET 365 SEMBAWANG CRESCENT #01-01, S(750365)"
447,447,447,SNW19021L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"202 MARSILING DRIVE #01-138,#01-150, S(730202)",1.44315121142693,103.775164777049,True,ChIJGwxoxLgT2jERXUN1fpnw76E,227.0,4.4,0.0010853402565610493,3.9582799374614517,"SHENG SIONG SUPERMARKET 202 MARSILING DRIVE #01-138,#01-150, S(730202)"
449,449,449,SNW20026V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"6 MANDAI LINK, CMM Marketing Management Pte Ltd S(728652)",1.40969393759909,103.756910810773,True,ChIJv7v6ViMS2jERfgkrHP0j3ks,2.0,5.0,9.562469220802196e-06,3.957809966005422,"SHENG SIONG SUPERMARKET 6 MANDAI LINK, CMM Marketing Management Pte Ltd S(728652)"
451,451,451,SNW20050V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"133 CANBERRA VIEW #B1-03,#B1-04, S(750133)",1.44349544527985,103.830345369213,True,ChIJu_mOUWwV2jERVwkYRAhoAuM,23.0,4.0,0.00010996839603922525,3.957804640666313,"FAIRPRICE 133 CANBERRA VIEW #B1-03,#B1-04, S(750133)"
452,452,452,SNW20055K000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"1 JELEBU ROAD #01-32, BUKIT PANJANG PLAZA S(677743)",1.37988291404114,103.764377765935,True,ChIJISzl60Ia2jERMrUMrzOALAo,331.0,4.1,0.0015825886560427633,3.9580250441068894,"The Seafood Market Place by Song Fish 1 JELEBU ROAD #01-32, BUKIT PANJANG PLAZA S(677743)"
453,453,453,SNW20062L000,REDMAN BY PHOON HUAT,PHOON HUAT PTE. LTD.,"1 JELEBU ROAD #01-33/34, BUKIT PANJANG PLAZA S(677743)",1.37988291404114,103.764377765935,True,ChIJd2S40zwR2jER5L90LsKrtlE,18.0,4.1,8.606222298721976e-05,3.957812238048109,"REDMAN BY PHOON HUAT 1 JELEBU ROAD #01-33/34, BUKIT PANJANG PLAZA S(677743)"
454,454,454,SNW20069V000,Meat United,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",1.33667573740597,103.783709151645,True,ChIJkcsv9WwR2jERfkmRuPcc1pM,18.0,4.9,8.606222298721976e-05,3.9578810878264985,"Meat United 896 DUNEARN ROAD #01-08, LINK@896 S(589472)"
455,455,455,SNW20076A000,Neue Mart,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",1.3364085024668,103.768270552015,True,ChIJBwXDqGQQ2jER252HAyhpcSU,16.0,4.1,7.649975376641757e-05,3.957810878264986,"Neue Mart 19 ENG KONG TERRACE, ENG KONG PARK S(598991)"
456,456,456,SNW20086X000,THYME TO MEAT,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",1.33619242167225,103.768352513623,True,ChIJAaGaAicR2jERlUE-qKKDPbg,7.0,5.0,3.3468642272807684e-05,3.957834881018977,"THYME TO MEAT 27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)"
458,458,458,SNW20113B000,NAWAS GLOBAL,NAWAS GLOBAL PTE. LTD.,"18A KRANJI WAY #01-03, KRANJI WAY DORMITORY S(739443)",1.43830097418883,103.745481915822,True,ChIJLzjmGzsT2jERZ8_JREj3mfQ,12.0,3.8,5.7374815324813174e-05,3.957790946254142,"NAWAS GLOBAL 18A KRANJI WAY #01-03, KRANJI WAY DORMITORY S(739443)"
459,459,459,SNW21002E000,PHOON HUAT,PHOON HUAT PTE. LTD.,"51 YISHUN CENTRAL 1 #01-03, YISHUN 10 CINEMA COMPLEX S(768794)",1.42991718038493,103.836421473445,True,ChIJe0MO7osV2jERa0R3DWl0WBk,85.0,4.3,0.0004064049418840933,3.957939071771113,"PHOON HUAT 51 YISHUN CENTRAL 1 #01-03, YISHUN 10 CINEMA COMPLEX S(768794)"
463,463,463,SSE20034L000,BNM TRADING,BNM TRADING PTE. LTD.,"269 JOO CHIAT ROAD, S(427523)",1.31034574970684,103.901856226132,True,ChIJj_dKZBIY2jERC1CjtGWcm4g,1.0,5.0,4.781234610401098e-06,3.9578049830027107,"BNM TRADING 269 JOO CHIAT ROAD, S(427523)"
464,464,464,SSE20037E000,al forno,AL FORNO (EAST COAST) PTE LTD,"693 EAST COAST ROAD, FRANKEL ESTATE S(459058)",1.31190105580921,103.921875613238,True,ChIJvytDqyYj2jERB4Eee2oABYg,108.0,4.5,0.0005163733379233185,3.9580799776238225,"al forno 693 EAST COAST ROAD, FRANKEL ESTATE S(459058)"
