,ID,Category,Name,coordinates,Pri_Popularity_Score,long,lat,google_place_id,num_ratings,avg_rating,W,weighted_rating
72,6,Primary School,ALEXANDRA PRIMARY SCHOOL,"103.824017403629,1.29116965570463",3.5,103.824017403629,1.29116965570463,ChIJj9Z3WYAZ2jERKAd2w2a8QuY,38.0,4.4,0.005913476501711796,4.265711118755494
73,140,Primary School,INNOVA PRIMARY SCHOOL,"103.790607539185,1.42896700684852",3.5,103.790607539185,1.42896700684852,ChIJ3fyEPLsT2jERSC4tfq0_Y_g,38.0,4.0,0.005913476501711796,4.263345728154809
74,134,Primary School,HOUGANG PRIMARY SCHOOL,"103.880900019698,1.37737530954806",3.0,103.880900019698,1.37737530954806,ChIJ05jbokQW2jER6WSB79YPBy0,23.0,4.1,0.0035792094615624027,4.264322025106338
75,273,Primary School,ST. ANDREW'S JUNIOR SCHOOL,"103.865117134385,1.33140255308868",3.0,103.865117134385,1.33140255308868,ChIJJV7b1XgX2jEROHq3MAeWcLU,35.0,4.4,0.0054466230936819175,4.265648052593357
76,137,Primary School,HUAMIN PRIMARY SCHOOL,"103.844209671353,1.42695886300879",3.0,103.844209671353,1.42695886300879,ChIJM68v12kU2jERq-kVAcOEQ2Y,46.0,4.2,0.0071584189231248055,4.264447611403235
78,70,Primary School,CHUA CHU KANG PRIMARY SCHOOL,"103.741270440945,1.37760828302593",3.0,103.741270440945,1.37760828302593,ChIJpR_olcQR2jERpiolhW9hXws,50.0,4.7,0.00778089013383131,4.268297650444193
80,334,Primary School,YANGZHENG PRIMARY SCHOOL,"103.868595527042,1.34864575840923",3.0,103.868595527042,1.34864575840923,ChIJse9coqAX2jERYYbvb4VtaH4,35.0,4.2,0.0054466230936819175,4.26455872797462
81,86,Primary School,DE LA SALLE SCHOOL,"103.743123358084,1.39479396035866",3.0,103.743123358084,1.39479396035866,ChIJDwIPVfAR2jERJrA--SqAGN4,43.0,4.3,0.006691565515094927,4.265147072474214
82,194,Primary School,NGEE ANN PRIMARY SCHOOL,"103.917570005713,1.30553224180437",3.0,103.917570005713,1.30553224180437,ChIJeURhDp8i2jERSN4-331ZRqk,46.0,4.3,0.0071584189231248055,4.265163453295548
83,95,Primary School,ELIAS PARK PRIMARY SCHOOL,"103.945128117139,1.37451269377776",3.0,103.945128117139,1.37451269377776,ChIJdzCPErs92jERJtTKrxFf9aE,23.0,3.9,0.0035792094615624027,4.2636061832140255
84,315,Primary School,WEST GROVE PRIMARY SCHOOL,"103.698964212988,1.34471211768915",3.0,103.698964212988,1.34471211768915,ChIJj7nvVZYP2jER-5waIpz9-Bc,46.0,4.4,0.0071584189231248055,4.26587929518786
85,299,Primary School,TECK GHEE PRIMARY SCHOOL,"103.851009800453,1.36565018546903",3.0,103.851009800453,1.36565018546903,ChIJaxqtI-IW2jERUL4n4rsNCPE,37.0,4.4,0.005757858699035169,4.265690096701448
86,77,Primary School,COMPASSVALE PRIMARY SCHOOL,"103.897812229905,1.39444529636566",3.0,103.897812229905,1.39444529636566,ChIJezOWjg4W2jERhHhT9rwRPzU,32.0,4.1,0.004979769685652039,4.264091055525524
87,323,Primary School,WOODGROVE PRIMARY SCHOOL,"103.79023031392,1.43273620725049",3.0,103.79023031392,1.43273620725049,ChIJuZzySKQT2jERPAqVg3lgxAw,20.0,4.1,0.003112356053532524,4.26439901496661
